,ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
15,A-526059,Source2,2,2022-08-26 04:14:29,2022-08-26 04:36:33,38.617077,-90.245003,38.7267,-90.32788,0.0,Crash on I-44 Eastbound at 39th St.,I-44,St Louis (City),MO,63110,US,US/Central,KCPS,2022-08-26 03:53:00,71.0,71.0,90.0,29.57,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
16,A-527376,Source2,1,2022-08-25 08:35:51,2022-08-25 09:23:45,38.59133900000001,-90.343735,38.7267,-90.32788,0.0,Crash on Bompart Ave Westbound at Lockwood Ave.,E Lockwood Ave,St Louis,MO,63119-3141,US,US/Central,KCPS,2022-08-25 08:53:00,74.0,74.0,76.0,29.62,10.0,W,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
17,A-529190,Source2,3,2022-08-23 13:42:57,2022-08-23 14:12:37,38.71627,-90.296509,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-70 Eastbound at Exit 241A Bermuda Rd.,I-70,St Louis,MO,63121,US,US/Central,KSTL,2022-08-23 13:51:00,84.0,84.0,43.0,29.36,10.0,E,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
18,A-530458,Source2,3,2022-08-22 12:29:54,2022-08-22 12:59:41,38.641052,-90.345505,38.7267,-90.32788,0.0,Center lane blocked due to crash on I-170 Northbound after Galleria Pkwy.,I-170,St Louis,MO,63105,US,US/Central,KSTL,2022-08-22 12:51:00,83.0,83.0,53.0,29.4,10.0,N,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
19,A-530691,Source2,3,2022-08-22 09:20:52,2022-08-22 09:51:00,38.729523,-90.332603,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-170 Southbound at Exits 238A 238B 238C / I-170 .,I-170,St Louis,MO,63134,US,US/Central,KSTL,2022-08-22 08:51:00,73.0,73.0,79.0,29.42,10.0,NNW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
20,A-531862,Source2,3,2022-08-20 08:03:37,2022-08-20 08:32:26,38.704018,-90.27034,38.7267,-90.32788,0.0,Lane blocked due to crash on I-70 Westbound at Exits 242 / Woodland Ave.,I-70,St Louis,MO,63121,US,US/Central,KSTL,2022-08-20 07:51:00,76.0,76.0,60.0,29.32,10.0,SW,13.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
21,A-534015,Source2,3,2022-08-18 07:47:13,2022-08-18 08:16:45,38.507175,-90.338104,38.7267,-90.32788,0.0,Three lanes blocked due to crash on I-270 Northbound after Exit 1A I-255 Exits 1A 1B.,Rusty Rd,St Louis,MO,63128,US,US/Central,KCPS,2022-08-18 07:53:00,68.0,68.0,90.0,29.61,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,
22,A-534051,Source2,1,2022-08-18 08:43:47,2022-08-18 09:13:17,38.485661,-90.352341,38.7267,-90.32788,0.0,Crash on Butler Hill Rd at Midamerica Plz.,Midamerica Plz,St Louis,MO,63129,US,US/Central,KCPS,2022-08-18 08:53:00,73.0,73.0,76.0,29.61,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,
23,A-535320,Source2,1,2022-08-17 06:28:49,2022-08-17 06:58:32,38.451542,-90.306503,38.7267,-90.32788,0.0,Crash on MO-231 Telegraph Rd at Christopher Dr.,Telegraph Rd,St Louis,MO,63129-4601,US,US/Central,KCPS,2022-08-17 06:53:00,64.0,64.0,93.0,29.63,10.0,NNE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
24,A-536167,Source2,3,2022-08-16 09:27:03,2022-08-16 10:12:46,38.673958,-90.362061,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-170 Northbound at Exit 3 MO-340 Olive Blvd.,I-170,St Louis,MO,63132,US,US/Central,KSTL,2022-08-16 09:26:00,69.0,69.0,90.0,29.4,9.0,E,3.0,0.03,Light Rain,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,
25,A-536983,Source2,3,2022-08-15 07:26:29,2022-08-15 07:56:10,38.673958,-90.362061,38.7267,-90.32788,0.0,Left lane blocked due to crash on I-170 Southbound at Exit 3 MO-340 Olive Blvd.,I-170,St Louis,MO,63132,US,US/Central,KSTL,2022-08-15 07:11:00,70.0,70.0,84.0,29.35,9.0,N,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,
26,A-537717,Source2,3,2022-08-14 09:22:39,2022-08-14 10:21:48,38.628422,-90.31234,38.7267,-90.32788,0.0,Lane blocked due to crash on I-64 Eastbound at Exits 33A / Bellevue Ave.,US-40,St Louis,MO,63117,US,US/Central,KSTL,2022-08-14 09:11:00,79.0,79.0,66.0,29.27,10.0,W,10.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
27,A-540048,Source2,1,2022-08-11 08:06:15,2022-08-11 08:35:50,38.630066,-90.306557,38.7267,-90.32788,0.0,Right hand shoulder blocked due to crash on I-64 Westbound at Exit 33C Mccausland Ave.,US-40,St Louis (City),MO,63117,US,US/Central,KSTL,2022-08-11 07:51:00,72.0,72.0,81.0,29.5,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
28,A-540541,Source2,3,2022-08-10 18:05:27,2022-08-10 18:34:35,38.768623,-90.213814,38.7267,-90.32788,0.0,Left lane closed due to crash on I-270 Eastbound after Exit 32 Bellefontaine Rd.,I-270,St Louis,MO,63137,US,US/Central,KSTL,2022-08-10 17:51:00,82.0,82.0,47.0,29.45,10.0,N,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
29,A-541129,Source2,3,2022-08-10 08:19:52,2022-08-10 08:49:13,38.684063,-90.219063,38.7267,-90.32788,0.0,Left lane blocked due to crash on I-70 Westbound at Exit 246A Broadway.,I-70,St Louis (City),MO,63147,US,US/Central,KSTL,2022-08-10 08:40:00,74.0,74.0,82.0,29.52,10.0,ENE,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
30,A-542884,Source3,3,2022-08-08 16:34:40,2022-08-08 17:33:19,38.502384,-90.328423,38.7267,-90.32788,0.0,Four right lane closed due to crash on I-255 Westbound at Exit 1B US-61 Lemay Ferry Rd.,I-255,St Louis,MO,63129,US,US/Central,KCPS,2022-08-08 15:53:00,81.0,81.0,85.0,29.48,10.0,CALM,0.0,0.73,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
31,A-543034,Source2,3,2022-08-08 12:58:41,2022-08-08 13:28:13,38.677433,-90.449371,38.7267,-90.32788,0.0,Two lanes blocked due to crash on I-270 Northbound after Exit 14 MO-340 Olive Blvd.,I-270,St Louis,MO,63146,US,US/Central,KSTL,2022-08-08 12:51:00,96.0,96.0,47.0,29.34,10.0,W,8.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
32,A-546321,Source2,1,2022-08-04 08:39:29,2022-08-04 09:22:55,38.507175,-90.338104,38.7267,-90.32788,0.0,Right hand shoulder blocked due to crash on I-270 Southbound at Exit 1A I-255 Exits 1A 1B.,Rusty Rd,St Louis,MO,63128,US,US/Central,KCPS,2022-08-04 08:49:00,73.0,73.0,100.0,29.53,10.0,SSW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,
33,A-546838,Source2,2,2022-08-03 21:04:52,2022-08-03 21:34:27,38.718281,-90.364349,38.7267,-90.32788,0.0,Left lane closed due to crash on MO-180 St Charles Rock Rd Westbound at Edmundson Rd.,Edmundson Rd,St Louis,MO,63114-2924,US,US/Central,KSTL,2022-08-03 20:51:00,78.0,78.0,84.0,29.23,10.0,ESE,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
34,A-547310,Source2,3,2022-08-03 10:29:58,2022-08-03 10:59:18,38.673958,-90.362061,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-170 Northbound after Exit 3 MO-340 Olive Blvd.,I-170,St Louis,MO,63132,US,US/Central,KSTL,2022-08-03 10:51:00,92.0,92.0,55.0,29.23,10.0,SSW,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,
35,A-548568,Source2,3,2022-08-02 08:44:32,2022-08-02 09:29:37,38.512138,-90.3675,38.7267,-90.32788,0.0,Left lane blocked due to crash on I-270 Northbound before Exit 2 MO-21 Tesson Ferry Rd.,I-270,St Louis,MO,63128,US,US/Central,KCPS,2022-08-02 07:53:00,79.0,79.0,90.0,29.55,10.0,SSE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
36,A-548571,Source2,3,2022-08-02 07:56:32,2022-08-02 08:56:04,38.771221,-90.282829,38.7267,-90.32788,0.0,Right hand shoulder blocked due to crash on I-270 Eastbound at Exit 29 Pershall Rd.,I-270,St Louis,MO,63135,US,US/Central,KSTL,2022-08-02 07:51:00,83.0,83.0,65.0,29.33,10.0,S,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
37,A-548572,Source2,3,2022-08-02 08:26:08,2022-08-02 08:55:37,38.772296999999995,-90.306618,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-270 Eastbound at Elizabeth Ave.,I-270,St Louis,MO,63135,US,US/Central,KSTL,2022-08-02 08:51:00,86.0,86.0,59.0,29.35,10.0,S,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
38,A-548743,Source2,3,2022-08-02 06:36:46,2022-08-02 07:51:00,38.739761,-90.368866,38.7267,-90.32788,0.0,Right lane blocked and right hand shoulder blocked due to crash on I-70 Westbound after Exit 236 Lambert International Blvd.,I-70,St Louis,MO,63134,US,US/Central,KSTL,2022-08-02 06:51:00,82.0,82.0,65.0,29.31,10.0,S,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
39,A-548996,Source2,2,2022-08-02 06:06:58,2022-08-02 06:36:19,38.524456,-90.401855,38.7267,-90.32788,0.0,Two lanes blocked due to crash on MO-30 Gravois Rd Eastbound before I-270 Exit 3.,MO-30,St Louis,MO,63127,US,US/Central,KCPS,2022-08-02 05:53:00,77.0,77.0,94.0,29.52,10.0,SSE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
40,A-553198,Source2,1,2022-07-28 08:15:06,2022-07-28 08:59:25,38.713551,-90.323013,38.7267,-90.32788,0.0,Crash on MO-115 Natural Bridge Rd at Ramona Ave.,Natural Bridge Rd,St Louis,MO,63121-4111,US,US/Central,KSTL,2022-07-28 07:51:00,78.0,78.0,79.0,29.31,10.0,WSW,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
41,A-553542,Source2,3,2022-07-27 19:53:03,2022-07-27 20:21:56,38.720768,-90.306694,38.7267,-90.32788,0.0,Right lane closed due to crash on I-70 Eastbound after MO-N.,I-70,St Louis,MO,63121,US,US/Central,KSTL,2022-07-27 19:51:00,82.0,82.0,69.0,29.26,10.0,SW,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
42,A-554339,Source2,3,2022-07-27 08:03:49,2022-07-27 08:54:30,38.629826,-90.333672,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-64 Westbound at Hanley Rd.,US-40,St Louis,MO,63117,US,US/Central,KSTL,2022-07-27 07:51:00,74.0,74.0,85.0,29.3,10.0,W,14.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
43,A-554633,Source2,3,2022-07-27 07:11:08,2022-07-27 07:40:37,38.63118400000001,-90.25399,38.7267,-90.32788,0.0,Left lane blocked due to crash on I-64 Westbound after Exit 36B Boyle Ave.,US-40,St Louis (City),MO,63110,US,US/Central,KCPS,2022-07-27 06:53:00,72.0,72.0,93.0,29.5,10.0,W,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
44,A-554816,Source2,2,2022-07-26 17:36:38,2022-07-26 18:34:27,38.700641999999995,-90.293312,38.7267,-90.32788,0.0,Two left lane blocked due to crash on MO-U Southbound at MO-U / Lucas-Hunt rd.,Lucas-Hunt Rd,St Louis,MO,63121,US,US/Central,KSTL,2022-07-26 17:51:00,80.0,80.0,81.0,29.26,8.0,NNE,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
45,A-554920,Source2,2,2022-07-26 17:42:30,2022-07-26 18:12:01,38.545891,-90.351341,38.7267,-90.32788,0.0,Four lanes blocked due to crash on MO-30 Gravois Rd Northbound at Musick Ave.,Gravois Rd,St Louis,MO,63123-1808,US,US/Central,KCPS,2022-07-26 17:53:00,82.0,82.0,85.0,29.46,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
46,A-555576,Source2,1,2022-07-26 06:07:57,2022-07-26 07:16:11,38.733639,-90.301659,38.7267,-90.32788,0.0,Crash on MO-N at Elkan Ave.,Elkan Ave,St Louis,MO,63135-3247,US,US/Central,KSTL,2022-07-26 06:13:00,65.0,65.0,90.0,29.33,1.0,ESE,9.0,0.06,T-Storm,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
47,A-555687,Source2,2,2022-07-26 08:00:37,2022-07-26 08:30:02,38.503349,-90.338425,38.7267,-90.32788,0.0,Crash on I-270 Southbound at Exit 1A I-255 Exits 1A 1B.,I-270,St Louis,MO,63129,US,US/Central,KCPS,2022-07-26 07:53:00,64.0,64.0,100.0,29.57,2.0,CALM,0.0,0.51,Rain,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,
48,A-556584,Source2,1,2022-07-25 08:57:08,2022-07-25 09:26:48,38.45948,-90.306183,38.7267,-90.32788,0.0,Crash on MO-231 Telegraph Rd near Oakmont Terrace Dr.,Oakmont Terrace Dr,St Louis,MO,63129-4700,US,US/Central,KCPS,2022-07-25 08:53:00,77.0,77.0,66.0,29.63,10.0,NNW,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
49,A-557404,Source2,3,2022-07-23 14:04:57,2022-07-23 15:04:24,38.575759999999995,-90.378716,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-44 Westbound at Exit 279 Berry Rd.,I-44,St Louis,MO,63122,US,US/Central,KSTL,2022-07-23 13:51:00,102.0,102.0,27.0,29.3,10.0,S,17.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
50,A-558266,Source2,3,2022-07-22 10:50:01,2022-07-22 11:18:32,38.772296999999995,-90.306618,38.7267,-90.32788,0.0,Lane blocked due to crash on I-270 Westbound after Elizabeth Ave.,I-270,St Louis,MO,63135,US,US/Central,KSTL,2022-07-22 10:51:00,88.0,88.0,42.0,29.34,10.0,VAR,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
51,A-558480,Source2,3,2022-07-22 07:34:44,2022-07-22 08:25:20,38.704376,-90.270782,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-70 Eastbound before Exits 242 243A Woodland Ave.,I-70,St Louis,MO,63121,US,US/Central,KSTL,2022-07-22 07:51:00,81.0,81.0,56.0,29.34,10.0,NNE,9.0,0.0,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,
52,A-558606,Source2,3,2022-07-22 06:58:08,2022-07-22 07:27:45,38.631775,-90.264282,38.7267,-90.32788,0.0,Two lanes blocked due to crash on I-64 Westbound before Exit 36A Kingshighway Blvd.,US-40,St Louis (City),MO,63110,US,US/Central,KCPS,2022-07-22 07:53:00,80.0,80.0,79.0,29.54,10.0,NE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
53,A-559293,Source2,3,2022-07-21 16:16:56,2022-07-21 17:18:06,38.647305,-90.448624,38.7267,-90.32788,0.0,Left lane blocked and left hand shoulder blocked due to crash on I-270 Northbound after Exit 12A I-64.,I-270,St Louis,MO,63141,US,US/Central,KSTL,2022-07-21 15:51:00,97.0,97.0,35.0,29.25,10.0,WSW,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
54,A-562049,Source2,1,2022-07-19 08:57:14,2022-07-19 10:11:55,38.734402,-90.330406,38.7267,-90.32788,0.0,Crash on Hanley Rd near Irvington Ave.,N Hanley Rd,St Louis,MO,63134,US,US/Central,KSTL,2022-07-19 08:51:00,83.0,83.0,63.0,29.26,10.0,SSE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
55,A-564083,Source2,3,2022-07-17 15:15:13,2022-07-17 16:13:37,38.720184,-90.309212,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-70 Eastbound at Exit - 241A / MO-N / Hanley Rd.,I-70,St Louis,MO,63121,US,US/Central,KSTL,2022-07-17 15:05:00,76.0,76.0,87.0,29.23,5.0,SW,6.0,0.07,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
56,A-564216,Source2,3,2022-07-17 08:34:55,2022-07-17 09:04:12,38.772296999999995,-90.306618,38.7267,-90.32788,0.0,Two lanes blocked due to crash on I-270 Eastbound at Elizabeth Ave.,I-270,St Louis,MO,63135,US,US/Central,KSTL,2022-07-17 08:51:00,75.0,75.0,87.0,29.26,7.0,NE,7.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
57,A-566181,Source3,4,2022-07-14 18:30:08,2022-07-14 19:12:00,38.610363,-90.210251,38.7267,-90.32788,0.0,Main roadway closed due to crash on I-55 Southbound at Exit 207A I-44. Detour in operation - Traffic being diverted to I-44 WB.,I-55,St Louis (City),MO,63104,US,US/Central,KCPS,2022-07-14 18:53:00,91.0,91.0,42.0,29.6,10.0,SE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
58,A-566335,Source2,3,2022-07-14 15:26:28,2022-07-14 16:26:53,38.638003999999995,-90.4356,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-64 Westbound after Spoede Rd.,I-64,St Louis,MO,63131,US,US/Central,KSTL,2022-07-14 15:51:00,95.0,95.0,32.0,29.42,10.0,E,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
59,A-566336,Source2,3,2022-07-14 15:17:27,2022-07-14 15:47:04,38.650246,-90.448318,38.7267,-90.32788,0.0,Left lane blocked and left hand shoulder blocked due to crash on I-270 Northbound after Exit 12A I-64.,I-270,St Louis,MO,63141,US,US/Central,KSTL,2022-07-14 14:51:00,97.0,97.0,29.0,29.42,10.0,NNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
60,A-566377,Source2,3,2022-07-14 15:43:44,2022-07-14 16:28:26,38.54855300000001,-90.427147,38.7267,-90.32788,0.0,Two lanes blocked due to crash on I-44 Westbound after Exit 277A I-270.,US-50,St Louis,MO,63122,US,US/Central,KSTL,2022-07-14 15:51:00,95.0,95.0,32.0,29.42,10.0,E,9.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,
61,A-567341,Source2,3,2022-07-13 17:59:24,2022-07-13 18:43:52,38.629681,-90.33596,38.7267,-90.32788,0.0,Right lane blocked due to crash on I-64 Eastbound after Exit 31A / I-170 Exit 1C.,US-40,St Louis,MO,63117,US,US/Central,KSTL,2022-07-13 17:51:00,90.0,90.0,33.0,29.36,10.0,N,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,
62,A-568238,Source2,3,2022-07-13 07:55:46,2022-07-13 08:24:57,38.507175,-90.338104,38.7267,-90.32788,0.0,Left lane blocked due to crash on I-270 Northbound after Exit 1A / I-55.,Rusty Rd,St Louis,MO,63128,US,US/Central,KCPS,2022-07-13 07:53:00,73.0,73.0,76.0,29.6,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,
